hh_id,b2_1,b2_4,b3_1,b3_2,b3_5
4010,3,3,3,3,3
2036,3,3,3,3,3
5018,3,3,3,3,3
5030,3,3,3,3,3
3038,2,3,3,2,2
4017,3,3,3,3,2
4056,2,3,3,3,3
3054,2,2,3,2,3
5036,3,3,3,3,3
1041,3,3,3,2,3
5073,3,3,3,3,3
4023,3,3,3,3,3
2049,3,3,3,3,3
4051,3,3,3,3,3
5049,3,2,3,3,2
2007,3,3,2,3,2
5074,3,3,3,3,3
6061,3,3,3,3,3
1026,3,3,3,2,3
3002,2,2,3,2,3
3062,3,3,3,3,3
4072,3,3,3,2,2
2067,3,3,3,3,3
3085,3,3,3,3,3
1005,3,3,2,3,3
4031,3,3,3,3,3
4053,3,3,3,2,3
2017,3,3,3,3,3
5005,3,2,3,3,2
4069,3,3,3,3,3
3003,3,3,2,3,3
2060,3,3,3,3,3
4022,3,3,2,3,3
3052,2,2,3,2,2
3015,1,2,3,3,2
1022,3,2,3,3,2
4024,3,3,3,3,2
1015,3,2,2,2,3
4070,3,3,2,2,2
1058,3,3,3,3,3
4049,3,3,3,2,2
2034,3,3,3,2,3
5072,3,3,3,3,3
4068,3,3,3,2,3
2073,3,3,3,3,3
1055,3,2,3,3,3
3063,2,2,3,3,3
2032,3,3,3,3,3
4035,3,3,3,2,3
5023,3,3,3,3,3
1052,3,1,3,3,3
4076,3,3,3,3,3
5068,2,2,3,3,3
5040,3,3,3,3,3
2057,3,3,3,3,3
4073,3,3,3,3,3
4075,3,3,3,3,3
2008,1,3,3,3,3
4014,3,3,3,3,3
1035,2,2,3,2,2
4046,3,3,3,2,2
3065,3,3,3,3,3
2014,2,3,3,3,3
3025,3,2,3,2,3
2004,3,0,3,3,3
2006,1,3,3,3,3
2044,3,3,3,3,3
1066,3,3,3,3,3
3031,3,3,3,2,2
1037,2,2,2,3,3
1057,2,3,2,3,3
5060,3,3,3,3,3
1067,3,2,3,2,3
4002,2,2,2,3,3
5015,3,3,3,3,3
4013,3,3,3,3,2
1050,3,2,2,2,2
4029,3,3,3,3,3
2020,3,3,3,3,3
5028,3,3,3,3,3
3030,3,3,3,3,2
5055,3,3,3,3,3
3064,3,3,3,3,3
5064,3,2,3,3,3
3048,3,3,2,3,2
5050,3,3,3,3,2
5051,3,3,3,3,3
5017,3,3,3,3,2
2012,3,3,3,3,3
2061,3,3,3,3,3
4074,3,3,3,2,3
2002,3,1,3,2,3
3006,2,3,3,3,2
3068,2,3,3,2,2
5029,3,3,3,3,3
1024,3,2,3,2,2
3014,2,2,3,3,2
2058,1,3,0,3,3
2062,3,3,3,2,3
5071,3,3,3,3,3
1031,3,3,3,2,2
5070,3,3,3,3,3
2029,3,3,3,3,2
4038,3,3,3,3,2
5003,3,3,3,3,2
3023,2,2,3,2,2
2018,2,3,3,3,3
1056,3,3,3,3,3
4015,3,2,3,3,2
2050,3,3,3,3,3
3007,3,3,2,3,2
1072,2,3,3,3,3
3026,3,3,3,3,2
4043,3,3,3,3,3
3083,3,3,2,3,3
4021,3,3,3,3,2
1043,3,3,3,2,2
5041,3,3,3,3,2
5039,3,3,3,3,3
3009,3,3,3,3,3
2010,3,3,3,3,3
5033,3,3,3,3,3
1051,3,3,3,2,2
2043,3,3,3,3,3
3053,3,1,2,3,2
4080,3,3,3,2,2
3067,2,3,3,2,2
4005,3,2,3,3,2
5080,2,2,3,3,3
4071,3,3,3,3,3
1007,2,2,3,2,3
4028,3,3,3,3,2
5001,3,3,3,3,3
4054,3,2,3,3,2
4027,3,3,3,3,3
5009,3,3,3,3,3
5035,3,3,3,3,3
3059,2,1,2,3,2
4008,3,3,3,3,3
1016,3,3,3,3,3
3084,3,2,3,3,2
3016,2,2,2,2,3
4007,3,2,3,3,2
2022,3,3,3,3,3
5021,3,3,3,3,3
2003,3,1,3,3,3
3033,2,3,3,2,2
1063,3,2,3,3,2
2077,3,3,3,2,2
4030,3,3,3,3,3
4061,3,3,3,3,2
3043,2,3,2,3,2
3037,2,2,3,3,2
5024,3,3,3,3,3
3078,3,3,1,2,0
1040,3,3,3,2,3
4026,3,3,3,3,2
3057,2,1,2,3,2
1070,3,3,3,3,3
5020,3,3,3,3,3
5048,3,2,3,3,3
4057,3,1,3,3,2
5044,3,2,3,3,3
5019,3,3,3,3,2
1032,3,2,2,3,3
4040,3,3,3,3,2
5006,3,3,3,3,3
4067,3,3,2,3,2
3047,2,3,3,2,3
2005,3,3,3,3,3
5075,3,2,3,3,3
4063,3,3,3,3,3
4060,3,3,3,3,3
3058,3,2,2,2,3
5069,3,3,3,3,3
5043,3,3,3,3,3
3079,3,1,2,2,1
3049,2,3,2,3,2
1010,3,2,3,2,3
2053,3,3,3,3,3
5010,3,3,3,3,3
1073,3,2,2,3,2
1004,3,2,3,3,3
1068,3,3,3,3,3
3012,2,3,3,3,3
5057,3,3,3,3,3
5065,3,3,3,3,3
4065,3,3,3,3,2
4079,3,3,3,3,2
2052,3,3,3,3,3
5013,3,3,3,3,3
5078,3,3,3,3,3
4006,3,3,3,3,3
1021,3,3,3,3,3
5031,3,3,3,3,3
5054,3,3,3,3,2
3050,3,2,2,3,3
5004,3,3,3,3,3
1002,2,3,3,3,3
5008,3,3,3,3,3
5067,3,3,3,3,3
4062,3,3,3,3,2
4004,2,3,2,3,3
3001,3,3,2,3,3
1003,3,2,2,3,2
3044,3,2,2,2,3
4032,3,3,3,2,2
3077,3,3,1,2,0
1060,3,3,3,3,3
5037,3,3,3,3,3
5034,3,3,3,3,3
2011,3,3,3,3,3
5079,2,2,3,3,3
2048,3,3,3,3,3
4052,3,3,3,2,2
2021,2,3,3,3,2
4033,3,3,3,3,3
1059,3,3,3,3,3
5007,3,3,3,3,2
5016,3,3,3,3,3
2039,3,3,3,3,3
4019,3,3,3,3,3
5026,3,3,3,3,3
1019,3,2,3,3,2
1012,2,2,3,2,3
4003,3,3,3,3,2
4048,3,3,3,2,3
3055,3,1,2,2,2
4037,3,3,3,2,2
5011,3,3,3,3,3
3041,2,3,3,2,3
4012,3,3,3,2,2
4025,3,3,2,3,2
5059,3,3,3,3,3
4034,3,3,3,3,2
5052,3,3,3,3,3
3017,3,3,3,2,2
5056,3,3,3,3,3
3020,3,2,3,3,2
3076,3,2,2,2,1
1075,3,3,2,3,3
4078,3,3,3,3,3
1048,3,2,3,3,2
3073,3,3,3,3,2
4039,3,3,3,2,3
3029,3,3,3,3,2
3004,2,3,3,2,2
1013,3,2,3,3,2
5058,3,3,3,3,3
4016,3,3,3,3,3
1009,2,2,3,3,3
1029,3,3,3,2,3
2001,3,2,3,3,3
1071,3,2,2,3,2
2024,3,3,3,3,3
1074,3,2,3,2,2
5066,3,3,3,3,3
5062,3,3,3,3,3
5002,3,3,3,3,3
2037,3,3,3,3,2
1038,3,2,3,2,2
1062,3,3,3,3,2
5053,3,3,3,3,3
3066,3,3,2,2,1
3034,3,3,2,2,2
5025,3,3,3,3,3
1025,3,2,3,3,3
3074,3,3,3,3,2
3013,2,3,2,3,2
1034,3,3,3,3,3
2033,3,3,3,3,3
1042,2,2,2,3,3
3040,3,2,2,3,3
1049,2,3,3,2,3
3069,3,2,3,2,2
4042,3,3,3,2,2
2019,3,3,3,3,3
3010,3,3,2,3,2
3056,3,2,3,2,3
1011,3,2,3,3,3
4047,3,3,3,2,2
1028,2,3,3,3,3
2066,3,3,3,3,3
2009,2,3,3,2,2
1027,3,3,2,3,3
3036,3,3,2,3,3
4064,3,3,3,3,3
2013,3,3,3,3,3
4050,3,3,3,3,3
1044,3,2,3,3,3
4059,3,3,3,3,2
2072,3,3,3,2,3
2038,3,3,3,2,2
2015,3,3,3,3,3
2054,3,3,3,3,3
1053,3,2,3,2,2
3032,3,2,2,2,3
1065,3,2,3,3,3
4055,3,3,3,2,3
3024,3,2,2,3,2
2026,3,3,3,3,2
5076,3,3,3,3,3
4018,3,3,3,3,2
5038,3,3,3,3,3
5063,3,2,3,3,3
1018,3,2,2,3,3
4020,3,3,3,2,2
3019,3,1,2,2,2
1006,3,3,3,3,3
5061,3,3,3,3,3
5046,3,2,3,3,3
3070,3,1,3,2,1
2031,3,3,3,2,3
3021,2,3,2,3,2
2056,3,3,3,3,3
3018,2,2,2,3,2
2047,3,3,3,3,3
2045,3,3,3,3,2
1069,3,2,3,2,3
3046,3,3,3,2,3
3051,3,1,2,3,2
3042,3,2,3,2,2
4044,3,3,3,2,2
4066,3,3,3,2,3
2027,3,3,3,2,3
3060,3,2,2,3,2
2051,3,3,3,3,3
5032,3,3,3,3,2
3011,3,2,2,2,2
4011,3,3,3,3,3
3035,3,2,2,3,3
1017,2,2,3,3,2
1020,3,3,3,3,3
5042,3,2,3,3,3
3082,3,3,3,3,2
4009,3,3,3,3,2
3022,3,3,2,3,2
1064,3,2,2,3,3
2030,3,3,3,3,3
4045,3,3,3,3,3
5047,3,3,3,3,3
5045,3,1,3,3,3
3039,2,2,3,2,2
3071,3,3,3,3,2
3075,3,3,3,2,2
2078,2,3,3,2,3
1023,3,2,3,2,3
3005,3,3,3,3,3
1054,3,3,2,3,3
1008,3,3,3,3,2
1047,2,2,2,3,3
5077,3,2,3,3,3
2025,3,3,3,3,2
4001,3,3,3,3,2
1036,3,2,3,2,2
1045,2,3,3,2,2
4058,2,3,3,3,3
2059,3,3,3,2,3
1046,3,3,3,2,2
3045,3,3,2,3,2
3072,3,2,3,2,2
3081,3,2,3,3,2
4041,3,3,3,3,3
5027,3,3,3,3,3
5014,3,3,3,3,3
3008,2,2,3,3,2
1061,3,3,2,3,2
1001,3,2,3,3,3
2041,3,3,3,3,3
4077,3,3,3,2,2
5022,3,3,3,3,3
1014,2,3,3,2,2
1039,3,2,2,3,3
5012,3,3,3,3,3
4036,3,3,3,3,2
1030,3,3,3,2,2
1033,2,2,3,2,2
2016,3,3,3,3,3
